dataset,prior_weight,endpoint,median_spearman,worst_pair_spearman
nasa_battery_capacity_reviewer_clean_inner0,0.0,raw_q_distance,0.19999999999999998,-0.07878787878787878
nasa_battery_capacity_reviewer_clean_inner0,0.0,response_distance,0.8242424242424241,0.6
nasa_battery_capacity_reviewer_clean_inner0,0.0,capacity_cycle1,0.8999999999999998,0.7
nasa_battery_capacity_reviewer_clean_inner0,0.0,early_fade_rate,0.7,0.09999999999999999
nasa_battery_capacity_reviewer_clean_inner0,0.01,raw_q_distance,0.15757575757575756,-0.13939393939393938
nasa_battery_capacity_reviewer_clean_inner0,0.01,response_distance,0.8181818181818181,0.6
nasa_battery_capacity_reviewer_clean_inner0,0.01,capacity_cycle1,0.9999999999999999,0.7
nasa_battery_capacity_reviewer_clean_inner0,0.01,early_fade_rate,0.8499999999999999,0.09999999999999999
nasa_battery_capacity_reviewer_clean_inner1,0.0,raw_q_distance,0.6909090909090909,0.5393939393939393
nasa_battery_capacity_reviewer_clean_inner1,0.0,response_distance,0.9636363636363635,0.9636363636363635
nasa_battery_capacity_reviewer_clean_inner1,0.0,capacity_cycle1,0.9999999999999999,0.9999999999999999
nasa_battery_capacity_reviewer_clean_inner1,0.0,early_fade_rate,0.8999999999999998,0.7999999999999999
nasa_battery_capacity_reviewer_clean_inner1,0.01,raw_q_distance,0.6909090909090909,0.5393939393939393
nasa_battery_capacity_reviewer_clean_inner1,0.01,response_distance,0.9636363636363635,0.9636363636363635
nasa_battery_capacity_reviewer_clean_inner1,0.01,capacity_cycle1,0.9999999999999999,0.8999999999999998
nasa_battery_capacity_reviewer_clean_inner1,0.01,early_fade_rate,0.8999999999999998,0.7999999999999999
nasa_battery_capacity_reviewer_clean_inner2,0.0,raw_q_distance,0.41212121212121205,-0.18787878787878787
nasa_battery_capacity_reviewer_clean_inner2,0.0,response_distance,0.8727272727272726,0.8060606060606059
nasa_battery_capacity_reviewer_clean_inner2,0.0,capacity_cycle1,0.9999999999999999,0.9999999999999999
nasa_battery_capacity_reviewer_clean_inner2,0.0,early_fade_rate,0.19999999999999998,-0.7
nasa_battery_capacity_reviewer_clean_inner2,0.01,raw_q_distance,0.4303030303030303,-0.11515151515151514
nasa_battery_capacity_reviewer_clean_inner2,0.01,response_distance,0.9212121212121211,0.8666666666666665
nasa_battery_capacity_reviewer_clean_inner2,0.01,capacity_cycle1,0.9999999999999999,0.9999999999999999
nasa_battery_capacity_reviewer_clean_inner2,0.01,early_fade_rate,0.19999999999999998,-0.7
