dataset,label,first_discharge_index,first_target,following_early_median,first_to_following_ratio,protocols_through_cycle28
nasa_battery_capacity_reviewer_clean_inner0,B0005,1.0,1.8564874208181572,1.8351461429226603,1.0116291980220762,1
nasa_battery_capacity_reviewer_clean_inner0,B0026,1.0,1.8132504303869896,1.8135354175561995,0.9998428554708935,1
nasa_battery_capacity_reviewer_clean_inner0,B0030,1.0,1.6560706096175404,1.7491047649061158,0.946810415730833,1
nasa_battery_capacity_reviewer_clean_inner0,B0036,1.0,1.001982588175331,1.792996521672392,0.5588313061760689,1
nasa_battery_capacity_reviewer_clean_inner0,B0039,1.0,0.1190383185934176,0.4668172561120673,0.254999824952573,2
nasa_battery_capacity_reviewer_clean_inner1,B0006,1.0,2.035337591005598,2.013101105626967,1.0110458860295075,1
nasa_battery_capacity_reviewer_clean_inner1,B0028,1.0,1.8046847720100736,1.7919180081592216,1.0071246361679054,1
nasa_battery_capacity_reviewer_clean_inner1,B0031,1.0,1.6666751942525773,1.802147684291295,0.9248271985589278,1
nasa_battery_capacity_reviewer_clean_inner1,B0033,2.0,0.6895699007862814,1.3123976617974051,0.525427559693969,1
nasa_battery_capacity_reviewer_clean_inner1,B0040,1.0,0.6734628137095633,0.7733165409025605,0.8708759971997301,2
nasa_battery_capacity_reviewer_clean_inner2,B0007,1.0,1.89105229539079,1.880637027686859,1.0055381594377846,1
nasa_battery_capacity_reviewer_clean_inner2,B0025,1.0,1.847011162956716,1.8401871729536057,1.0037083129930515,1
nasa_battery_capacity_reviewer_clean_inner2,B0029,1.0,1.697507332205763,1.8143317955190057,0.9356101989714488,1
nasa_battery_capacity_reviewer_clean_inner2,B0036,1.0,1.001982588175331,1.792996521672392,0.5588313061760689,1
nasa_battery_capacity_reviewer_clean_inner2,B0039,1.0,0.1190383185934176,0.4668172561120673,0.254999824952573,2
