dataset,seed,prior_weight,capacity_spearman,early_fade_spearman
nasa_battery_capacity_reviewer_clean_inner0,0,0.0,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0,0.001,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,0,0.01,1.0,0.9285714285714287
nasa_battery_capacity_reviewer_clean_inner0,0,0.1,1.0,0.9285714285714287
nasa_battery_capacity_reviewer_clean_inner0,0,1.0,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,1,0.0,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,1,0.001,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,1,0.01,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,1,0.1,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,1,1.0,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,2,0.0,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,2,0.001,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,2,0.01,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,2,0.1,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,2,1.0,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,3,0.0,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,3,0.001,1.0,1.0
nasa_battery_capacity_reviewer_clean_inner0,3,0.01,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,3,0.1,1.0,0.9523809523809524
nasa_battery_capacity_reviewer_clean_inner0,3,1.0,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,4,0.0,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,4,0.001,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,4,0.01,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,4,0.1,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner0,4,1.0,1.0,0.9761904761904763
nasa_battery_capacity_reviewer_clean_inner1,0,0.0,0.9761904761904763,0.523809523809524
nasa_battery_capacity_reviewer_clean_inner1,0,0.001,0.9761904761904763,0.523809523809524
nasa_battery_capacity_reviewer_clean_inner1,0,0.01,0.9761904761904763,0.7380952380952381
nasa_battery_capacity_reviewer_clean_inner1,0,0.1,0.9761904761904763,0.6190476190476191
nasa_battery_capacity_reviewer_clean_inner1,0,1.0,0.9761904761904763,0.3333333333333334
nasa_battery_capacity_reviewer_clean_inner1,1,0.0,0.9761904761904763,0.28571428571428575
nasa_battery_capacity_reviewer_clean_inner1,1,0.001,0.9761904761904763,0.28571428571428575
nasa_battery_capacity_reviewer_clean_inner1,1,0.01,0.9761904761904763,0.28571428571428575
nasa_battery_capacity_reviewer_clean_inner1,1,0.1,0.9761904761904763,0.28571428571428575
nasa_battery_capacity_reviewer_clean_inner1,1,1.0,0.9761904761904763,0.28571428571428575
nasa_battery_capacity_reviewer_clean_inner1,2,0.0,0.9761904761904763,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,2,0.001,0.9761904761904763,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,2,0.01,0.9761904761904763,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,2,0.1,0.9761904761904763,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,2,1.0,0.9761904761904763,0.4523809523809524
nasa_battery_capacity_reviewer_clean_inner1,3,0.0,0.9761904761904763,0.28571428571428575
nasa_battery_capacity_reviewer_clean_inner1,3,0.001,0.9761904761904763,0.28571428571428575
nasa_battery_capacity_reviewer_clean_inner1,3,0.01,0.9761904761904763,0.30952380952380953
nasa_battery_capacity_reviewer_clean_inner1,3,0.1,0.9761904761904763,0.28571428571428575
